Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
5173.1,3513.5,2854.2,2300.2,554,659.3,441,218.3,364.5,28.6,335.9,50.2,982,798.9,183.2,698.8,682.3,266.8,122.5,112.5,29.4,17.9,133.3,16.4,435.9,598.6,4574.5,4177.2,4017.1,121.2,38.9,24.2,14.7,397.3,8.7,6360,6502.3,17951,25516,254835,6.5,3.5
5290.2,3597.6,2913.5,2348.7,564.8,684.2,459.1,225.1,380.8,32.9,347.9,53.9,979.5,794.8,184.8,727,710.5,278.6,127.2,108.3,39.7,18.7,138,16.5,448.7,588.8,4701.4,4274.3,4117.7,120.1,36.5,25,11.5,427.1,9.1,6446.7,6641.9,18394,25987,255585,11.6,8.9
5389.1,3654.4,2952.8,2382.2,570.6,701.6,473.8,227.8,397.4,35.4,362,61.1,984.4,796.7,187.7,745.6,729.1,281.7,131,115.4,41.2,18.8,141.1,16.5,453.7,607.1,4782,4330.8,4173.4,119.1,38.4,25.8,12.6,451.1,9.4,6517,6711.4,18648,26171,256439,7,4.2
5449.6,3690.7,2976.1,2401.4,574.7,714.6,484.6,230,410.1,36.7,373.4,68,981,790.4,190.5,757.6,741.3,282.8,134.5,120.6,39.6,18.5,145.4,16.3,457.8,616.1,4833.5,4408.3,4245.4,117.2,45.7,26.4,19.3,425.1,8.8,6543.4,6740.7,18779,26189,257386,4.4,1.8
5523.3,3741.9,3019.9,2442,577.9,722,491.3,230.7,421.2,34,387.1,74.3,983.7,790.5,193.2,762,746,283.9,137.7,120.8,38,18.5,147.1,15.9,459.6,639.1,4884.2,4483.5,4326.2,115.9,41.4,26.8,14.5,400.8,8.2,6593.7,6763.8,18911,26188,258277,4.3,1.4
5557.6,3747.9,3018.5,2433.1,585.4,729.4,494.7,234.7,421.3,28.6,392.8,83.2,991,795,196,781.6,766.5,295.6,143.4,124.4,35.1,19.4,148.7,15.1,467.5,616.8,4940.9,4529.3,4368.5,116.5,44.3,28,16.3,411.5,8.3,6574.8,6801.7,19074,26258,259039,4.7,2.3
5626.5,3803.3,3065.5,2479.8,585.7,737.8,498.9,238.9,432,34.9,397.1,91.9,988.8,788.2,200.5,786,771.7,297.1,144.7,124.8,35.5,19.5,150,14.4,475.6,643.6,4982.9,4598.9,4437.5,116.4,45,28.3,16.7,384,7.7,6618.9,6813.7,19178,26224,259826,3.4,0.7
5666.9,3838,3093.3,2501.9,591.5,744.7,503.7,241,426,26.1,399.9,96.3,986.7,779.7,207,799.9,786.3,298.6,147.5,135.2,35.5,19.2,150.4,13.7,480.1,659.2,5007.7,4667,4506,115,46,28.7,17.3,340.6,6.8,6626.1,6817.7,19208,26150,260714,2,0.2
5745,3893.5,3140.1,2546.5,593.5,753.4,509.3,244.1,442.6,35.8,406.8,103.2,987.9,772.6,215.4,804.3,791.3,300.6,151.6,136,33.2,19.2,150.7,13.1,486.6,675.5,5069.5,4735.1,4572,115.9,47.2,29.2,18,334.4,6.6,6688.1,6862.5,19383,26238,261547,5,2.7
5796.7,3917.2,3152.8,2551.6,601.2,764.4,515,249.4,452.9,41.8,411.2,112.7,994.1,769.1,224.9,818.1,805.3,308.8,156.9,136.6,28,19.7,155.4,12.8,498.4,673.6,5123.1,4805.6,4640.9,116.1,48.6,30.1,18.5,317.5,6.2,6715.7,6910.6,19535,26351,262250,4.3,2.8
