    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
7183,7259,5760,5063,4318,2100,611,1489,2218,25427,25745,18324,15627,4955,915,4531,10559,213602
7301,7372,5915,5191,4441,2167,637,1530,2274,25117,25408,18295,15651,4958,918,4529,10584,214147
7466,7528,6037,5303,4475,2133,592,1541,2342,24952,25206,18225,15382,4744,829,4437,10663,214700
7528,7581,6117,5382,4588,2175,613,1563,2413,24601,24818,18158,15479,4769,845,4437,10740,215135
7681,7735,6249,5687,4710,2233,634,1599,2478,24731,24949,18956,15700,4859,859,4524,10848,215652
7924,7984,6399,5693,4853,2324,679,1646,2528,25065,25299,18625,15877,4965,910,4555,10869,216289
8143,8217,6548,5817,4974,2366,707,1659,2608,25338,25610,18719,16004,4986,934,4532,10993,216848
8396,8468,6686,5938,5118,2442,751,1691,2676,25854,26120,18898,16289,5120,979,4614,11098,217314
8527,8603,6784,6006,5198,2475,762,1713,2723,25994,26269,18956,16404,5171,981,4675,11148,217776
8659,8737,6933,6127,5319,2521,778,1743,2798,26059,26336,19047,16536,5203,990,4699,11255,218338
8855,8936,7079,6244,5459,2581,801,1780,2878,26186,26467,19109,16707,5252,1003,4735,11381,218917
9081,9175,7200,6340,5608,2645,838,1807,2963,26429,26745,19059,16859,5297,1037,4721,11491,219427
9366,9461,7403,6513,5722,2696,860,1835,3026,26883,27194,19250,16911,5323,1059,4710,11507,219956
9622,9717,7594,6694,5847,2738,879,1858,3109,27282,27590,19490,17025,5351,1072,4720,11599,220573
9804,9889,7844,6901,6003,2822,907,1915,3181,27207,27483,19810,17232,5450,1091,4807,11677,221201
9962,10061,8005,7049,6124,2838,894,1944,3286,27238,27552,19904,17291,5406,1060,4817,11835,221719
10512,10596,8251,7247,6367,2974,973,2001,3393,28225,28493,20050,17616,5548,1136,4842,11982,222281
10760,10854,8466,7406,6487,3016,972,2044,3471,28418,28707,20135,17638,5536,1117,4865,12032,222933
11102,11212,8689,7583,6644,3094,994,2099,3550,28715,29042,20235,17727,5582,1123,4913,12059,223583
11294,11408,8920,7788,6785,3158,996,2162,3628,28699,29032,20398,17772,5564,1107,4922,12151,224152
11551,11682,9077,7911,6948,3213,988,2225,3735,28659,29027,20169,17715,5502,1079,4900,12195,224737
11846,12007,9340,8121,7169,3342,1024,2317,3827,28778,29210,20204,17836,5577,1105,4942,12207,225418
12077,12238,9589,8328,7339,3398,1013,2385,3941,28763,29191,20230,17828,5536,1074,4953,12275,226117
12333,12500,9838,8582,7526,3493,1023,2469,4033,28775,29209,20241,17751,5493,1054,4937,12259,226754
