        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
23.589,22.927,34.82,62.168,25.55,17.59,30.094,29.21,36.59,13.317,58.578,38.237,16.708,---,---,33.787,38.579,23.839,23.274,23.766,20.949,18.362,21.834,21.161,23.239,16.125
23.905,23.189,35.151,62.61,25.817,17.823,30.521,29.621,37.018,13.62,58.95,38.487,17.051,---,---,33.862,38.526,24.13,23.355,23.705,21.387,18.702,22.243,21.546,23.708,16.42
24.146,23.417,35.344,62.471,26.043,18.073,30.854,29.966,37.345,13.922,59.034,38.725,17.366,---,---,33.694,38.119,24.412,23.641,23.962,21.739,18.968,22.561,21.871,23.999,16.651
24.345,23.563,35.445,62.15,26.209,18.243,31.118,30.24,37.579,14.166,59.031,38.901,17.634,---,---,33.9,38.364,24.556,23.993,24.238,22.28,19.259,23.021,22.4,24.252,16.824
24.742,23.812,35.804,62.686,26.495,18.443,31.483,30.613,38.005,14.444,59.442,39.259,17.883,---,---,34.825,38.902,26.106,24.4,24.845,22.125,19.888,24.006,23.637,24.538,17.209
24.891,23.95,35.918,63.007,26.557,18.596,31.7,30.819,38.296,14.624,59.719,39.579,17.966,---,---,35.098,39.188,26.369,25.032,25.604,22.378,20.096,24.218,23.848,24.753,17.417
25.111,24.161,36.195,63.329,26.791,18.779,32.03,31.122,38.541,14.815,59.831,39.903,18.267,---,---,35.232,39.258,26.641,25.435,26.003,22.78,20.313,24.361,23.959,24.972,17.687
25.394,24.358,36.447,63.126,27.1,18.955,32.485,31.562,38.772,15.103,59.693,40.214,18.828,---,---,36.031,40.338,26.885,25.999,26.55,23.375,20.667,24.886,24.504,25.439,17.926
25.72,24.652,37.029,63.387,27.678,19.114,32.777,31.881,39.109,15.327,59.942,40.706,19.074,---,---,37.051,41.924,26.708,26.763,27.36,23.967,21.046,25.321,24.915,25.926,18.268
26.142,25.127,37.882,63.886,28.513,19.412,33.361,32.444,39.663,15.655,60.546,41.277,19.555,---,---,38.713,44.037,27.392,28.871,29.573,25.675,21.402,25.732,25.37,26.22,18.588
26.631,25.584,38.602,64.202,29.238,19.75,34.057,33.128,40.279,16.089,61.036,41.986,20.221,---,---,40.954,46.919,28.223,30.246,30.921,27.095,21.726,26.183,25.877,26.527,18.829
27.092,26.108,39.461,64.407,30.136,20.121,34.463,33.571,40.759,16.482,61.197,42.852,20.572,---,---,43.036,49.601,28.94,32.52,33.551,28.131,22.157,26.744,26.361,27.261,19.178
27.644,26.884,41.016,65.12,31.69,20.535,35.177,34.231,41.521,16.926,61.954,43.938,21.039,---,---,46.037,53.323,30.288,37.678,39.757,29.743,22.615,27.04,26.74,27.359,19.738
28.262,27.645,42.38,66.769,32.848,21.02,36.228,35.215,42.808,17.663,63.507,45.049,21.536,---,---,47.617,55.307,30.948,41.997,45.04,30.911,23.237,27.569,27.179,28.099,20.419
29.124,28.392,43.697,69.313,33.773,21.508,37.644,36.556,44.543,18.486,66.107,46.164,22.226,---,---,50.3,58.813,31.747,44.152,47.65,31.581,23.968,28.299,27.973,28.666,21.149
30.008,29.114,44.974,71.48,34.731,21.982,39.04,37.984,46.475,19.263,69.356,47.24,22.826,---,---,52.866,62.26,32.33,45.564,49.225,32.47,24.718,29.26,28.875,29.748,21.763
30.686,29.664,45.634,72.6,35.226,22.484,40.376,39.282,48.196,19.826,72.557,48.166,23.408,---,---,54.349,64.218,32.792,46.282,50.049,32.873,25.187,29.764,29.312,30.398,22.206
31.134,30.03,45.984,73.905,35.353,22.857,41.302,40.208,49.431,20.184,74.871,49.065,23.815,---,---,54.191,63.74,33.335,46.403,49.999,33.481,25.634,30.193,29.662,30.997,22.661
31.688,30.592,46.858,74.715,36.14,23.281,41.793,40.686,50.067,20.363,76.028,49.638,24.036,---,---,54.029,63.348,33.697,45.37,48.48,33.907,25.986,30.631,30.079,31.476,22.957
32.216,31.105,47.493,75.864,36.605,23.74,42.359,41.287,50.751,20.603,77.211,50.162,24.471,---,---,54.359,63.637,34.145,45.439,48.362,34.562,26.431,31.323,30.766,32.17,23.248
32.563,31.449,47.725,76.889,36.651,24.134,42.732,41.686,51.311,20.728,78.396,50.413,24.622,---,---,55.147,64.499,34.778,46.182,49.302,34.69,26.746,31.736,31.164,32.608,23.502
32.889,31.711,47.884,77.743,36.649,24.446,43.457,42.41,51.971,21.1,79.151,51.137,25.341,---,---,55.75,65.209,35.141,46.888,50.2,34.781,27.034,32.032,31.516,32.78,23.781
33.309,32.192,48.474,78.684,37.105,24.879,44.068,43.005,52.663,21.409,80.166,51.765,25.748,---,---,56.076,65.467,35.63,47.73,51.097,35.43,27.286,32.414,31.945,33.057,23.953
